rel_path,abs_path,size_bytes,mtime_utc
ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_logs/logs/test/schneider_Schneider_Switching_Controlling_TEST1_summary_20251226_090222.json,/Volumes/T9/Projects/NSW_Estimation_Software/ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_logs/logs/test/schneider_Schneider_Switching_Controlling_TEST1_summary_20251226_090222.json,718,2025-12-26T12:02:23.750000+00:00
ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_logs/logs/test/schneider_Schneider_Switching_Controlling_TEST1_summary_20251226_090726.json,/Volumes/T9/Projects/NSW_Estimation_Software/ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_logs/logs/test/schneider_Schneider_Switching_Controlling_TEST1_summary_20251226_090726.json,720,2025-12-26T12:02:23.740000+00:00
ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_logs/logs/test/schneider_Schneider_Switching_Controlling_TEST1_summary_20251226_090751.json,/Volumes/T9/Projects/NSW_Estimation_Software/ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_logs/logs/test/schneider_Schneider_Switching_Controlling_TEST1_summary_20251226_090751.json,720,2025-12-26T12:02:23.740000+00:00
ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_140913.json,/Volumes/T9/Projects/NSW_Estimation_Software/ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_140913.json,731,2025-12-26T12:01:46.860000+00:00
ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_141033.json,/Volumes/T9/Projects/NSW_Estimation_Software/ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_141033.json,731,2025-12-26T12:01:46.650000+00:00
ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_141221.json,/Volumes/T9/Projects/NSW_Estimation_Software/ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_141221.json,731,2025-12-26T12:01:46.750000+00:00
ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_141823.json,/Volumes/T9/Projects/NSW_Estimation_Software/ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_141823.json,731,2025-12-26T12:01:46.640000+00:00
ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_141913.json,/Volumes/T9/Projects/NSW_Estimation_Software/ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_141913.json,731,2025-12-26T12:01:46.820000+00:00
ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_141936.json,/Volumes/T9/Projects/NSW_Estimation_Software/ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_141936.json,731,2025-12-26T12:01:46.700000+00:00
ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_142503.json,/Volumes/T9/Projects/NSW_Estimation_Software/ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_nested/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_142503.json,731,2025-12-26T12:01:46.810000+00:00
